itemid,label,n_numeric_values,n_string_values,pct_numeric,n_hadm_no_value,string_values
51211,Factor XIII,0,0,,447689,
51212,Fetal Hemoglobin,37,240,13.4,447429,___
51213,Fibrin Degradation Products,0,4116,0.0,445584,0-10 | 10-40 | 160-320 | 320-640 | 40-80 | 640-1280 | 80-160 | ___
51214,"Fibrinogen, Functional",119967,11191,91.5,405626,117.4117.4 | 666 VERIFIED BY DILUTION | <35 | ERROR | LESS THAN 35 | UNABLE TO REPORT | ___
51215,FMC-7,0,345,0.0,447350,D | DONE
51216,Fragmented Cells,0,0,,447689,
51217,Glyco A,0,108,0.0,447582,D | DONE
51218,Granulocyte Count,20708,361,98.3,444088,O | ___
51219,H/O Smear,0,890,0.0,446853,AV | COMPLETE | D | DEON | DEONE | DIF | DIFF | DOME | DONE | MADE | S | SEND | SENT | SEWNT | SONE | ___
51220,Heinz Body Prep,0,0,,447689,
51221,Hematocrit,2559228,14775,99.4,17133,ERROR | ___
51222,Hemoglobin,2435194,2343,99.9,25413,___
51223,Hemoglobin A2,324,16,95.3,447362,___
51224,Hemoglobin C,409,1,99.8,447293,___
51225,Hemoglobin F,264,21,92.6,447416,___
51226,Hemogloblin A,8,402,2.0,447293,___
51227,Hemogloblin S,387,23,94.4,447293,___
51228,Heparin,12254,3784,76.4,445885,>2.00 | GREATER THAN 2.00 | LESS THAN 0.04 | ___
51229,"Heparin, LMW",751,1749,30.0,446151,GREATER THAN 2.00 | ___
51230,HLA-DR,0,454,0.0,447245,D | DONE
51231,Howell-Jolly Bodies,2,0,100.0,447687,
51232,Hypersegmented Neutrophils,376,2,99.5,447375,-
51233,Hypochromia,23,1,95.8,447665,___
51234,Immunophenotyping,0,1277,0.0,446499,CANCEL | CANCELED | CANCELLED | D | DOME | DONE | SENT | ___
51235,Inhibitor Screen,0,338,0.0,447357,BORDERLINE | BORDERLINE POSITIVE FOR PT MIXING STUDY | CANCELLED | NEG | NEGATIVE | POS | POSITIVE | POSTIVE | PT INHIBITOR STUDY IS BORDERLINE POSITIVE | ___
51236,Inpatient Hematology/Oncology Smear,0,1227,0.0,446589,A | AV | AVA | AVAIL | AVAILABLE | COMPLETE | D | DIF | DIFF | DINE | DONE | HOS | MADE | S | SEND | SENT | SMEAR | UNABLE | ___
51237,INR(PT),1191716,12176,99.0,174974,"1..0 | >13.1 | >13.4 | >13.8 | >15.4 | >15.7 | >19.2 | >20.2 | >21.8 | >22.8 | >23.7 | CANCELED | ERROR | GREATER THAN 15.7 | LAB ERROR | SPECIMEN COMPROMISED. DISREGARD PREVIOUS RESULT OF 3.2. | UNABLE | UNABLE TO REPORT | UNABLE TO REPORT INR QNS | UNABLE TO REPORT,QNS | ___"
51238,Kappa,0,470,0.0,447232,D | DOME | DONE
51239,Lambda,0,470,0.0,447232,D | DONE
51240,Large Platelets,2,2,50.0,447685,A
51241,Leukocyte Alkaline Phosphatase,18,3,85.7,447668,___
51242,LUC,0,0,,447689,
51243,Lupus Anticoagulant,0,1472,0.0,446251,BODERLINE POSITIVE BY DRVVT | INDERTERMINATE | INDETERMINATE | INDETERMINATE. BY SILICA CLOTTING TIME | INDETERMNATE | LUPUS CANCELED | NEG | NOTDET | NOTDETECTED | POS | POSITIVE | PRESENT | ___
51244,Lymphocytes,451003,6829,98.5,263986,___
51245,"Lymphocytes, Percent",2502,1,100.0,445401,___
51246,Macrocytes,26,0,100.0,447663,
51247,MacroOvalocytes,0,0,,447689,
51248,MCH,2416694,172,100.0,26403,ERROR | ___
51249,MCHC,2416248,903,100.0,26392,ERROR | ___
51250,MCV,2407586,9430,99.6,26397,ERROR | ___
51251,Metamyelocytes,127626,327,99.7,413342,- | ___
51252,Microcytes,24,0,100.0,447665,
51254,Monocytes,456069,1763,99.6,263986,___
51255,Myelocytes,126075,382,99.7,413810,- | ___
51256,Neutrophils,420433,37393,91.8,263986,___
51257,Nucleated Red Cells,59554,135,99.8,428056,- | ___
51259,Other Cells,428,7680,5.3,444418,. | ___
51260,Ovalocytes,4,0,100.0,447685,
51261,Pappenheimer Bodies,0,0,,447689,
51262,Pencil Cells,0,0,,447689,
51263,Plasma Cells,1561,173,90.0,446475,___
51264,Platelet Clumps,0,0,,447689,
51265,Platelet Count,2404367,53410,97.8,23703,___
51266,Platelet Smear,3,1,75.0,447685,___
51267,Poikilocytosis,7,0,100.0,447682,
51268,Polychromasia,5,1,83.3,447683,___
51269,Promyelocytes,7543,288,96.3,443833,- | ___
51270,"Protein C, Antigen",46,2,95.8,447641,___
51271,"Protein C, Functional",585,183,76.2,446967,___
51272,"Protein S, Antigen",61,4,93.8,447624,___
51273,"Protein S, Functional",372,339,52.3,446994,TEST CANCELLED BY ___ | ___
51274,PT,1157533,46463,96.1,174977,"10.1.\ | 12..5 | 13.41.1 | 14.1 CALLED TO ___ AT 12:26 ON ___ | 15,7 | 150> | 18,5 | 21.42.0 | 22.2. | >150 | CANCELED | ERROR | ERROR,DISREGARD PREVIOUS RESULT OF 11.8 | LAB ERROR | PT | UNABLE | UNABLE TO REPORT | UNABLE TO REPORT,QNS | ___ | …12.1 | ‰"
51275,PTT,1181104,98253,92.3,185449,"115.9 NOTIFIED ___ 7:55AM ___ | 143.4 VERIFIED | 150 150 IS HIGHEST MEEASURED PTT: NOTIFIED ___ AT 4:30PM ON ___ | 150:150 IS | 23.6,CHECKED FORCLOT | 24.1. | 26..3 | 34..3 | 52.0. | 67,3 | : 117.4 | :ERROR | :UNABLE TO REPORT | >150 | CANCELED | ERROR | LAB ERROR | QNS | UNABLE | UNABLE TO REPORT | UNABLE TO REPORT PTT QNS | UNABLE TO REPORT,QNS | UNLABE TO REPORT | Y | ___"
51276,Quantitative G6PD,686,63,91.6,446964,___
51277,RDW,2414320,126,100.0,26477,ERROR | L | ___
51279,Red Blood Cells,2415775,1257,99.9,26395,ERROR | ___
51280,Reptilase Time,0,1,0.0,447688,___
51281,Reptilase Time Control,2,0,100.0,447688,
51282,"Reticulocyte Count, Absolute",21528,44,99.8,430760,VOID | ___
51283,"Reticulocyte Count, Automated",32558,39,99.9,421247,VOID | ___
51284,"Reticulocyte Count, Manual",1644,8,99.5,446426,___
51286,Ristocetin,0,0,,447689,
51287,Schistocytes,3,0,100.0,447686,
51288,Sedimentation Rate,11890,132,98.9,437601,___
51289,Serum Viscosity,407,11,97.4,447415,___
51290,Sickle Cell Preparation,0,0,,447689,
51291,Sickle Cells,4,0,100.0,447685,
51292,Spherocytes,4,0,100.0,447685,
51294,Target Cells,4,0,100.0,447685,
51295,TdT,0,23,0.0,447666,DONE
51296,Teardrop Cells,5,0,100.0,447684,
51297,Thrombin,1197,322,78.8,446392,___
51298,Von Willebrand Factor Activity,374,42,89.9,447352,>200 | ___
51299,Von Willebrand Factor Antigen,234,213,52.3,447330,DONE | ___
51300,WBC Count,2501,2,99.9,445401,___
51301,White Blood Cells,2378960,40501,98.3,26139,<0.1 | ___
51302,Young Cells,28,33,45.9,447634,- | ___
51304,CD103,0,8,0.0,447681,DONE
51305,CD117,0,377,0.0,447397,D | DONE | SONE
51306,CD11c,0,220,0.0,447495,D | DONE
51307,CD13,0,433,0.0,447355,D | DONE
51308,CD138,0,6,0.0,447683,D | DONE
51309,CD14,0,301,0.0,447448,D | DONE
51310,CD15,0,366,0.0,447405,D | DONE
51311,CD16,0,16,0.0,447673,D | DONE
51312,CD16/56,0,68,0.0,447622,D | DONE
51313,CD19,0,624,0.0,447092,D | DONE
51314,CD2,0,398,0.0,447307,D | DONE | SONE
51315,CD20,0,549,0.0,447154,D | DONE
51316,CD22,0,10,0.0,447679,DONE
51317,CD23,0,357,0.0,447334,D | DONE
51318,CD25,0,16,0.0,447673,D | DONE
51319,CD3,0,598,0.0,447123,D | DONE
51320,CD33,0,323,0.0,447434,D | DONE | SONE
51321,CD34,0,475,0.0,447324,D | DONE
51322,CD38,0,12,0.0,447677,D | DONE
51323,CD4,1,274,0.4,447429,D | DONE
51324,CD41,0,191,0.0,447514,D | DONE | SONE
51325,CD45,0,837,0.0,446972,D | DONE | SONE
51326,CD5,0,541,0.0,447160,D | DONE
51328,CD56,0,238,0.0,447474,D | DONE | SONE
51329,CD57,0,18,0.0,447672,D | DONE
51331,CD64,0,242,0.0,447479,D | DDONE | DONE | SONE
51332,CD7,0,414,0.0,447299,D | DONE
51333,CD71,0,188,0.0,447513,D | DONE
51334,CD8,0,256,0.0,447441,D | DONE
51335,FMC-7,0,357,0.0,447335,D | DOME | DONE
51336,Glyco A,0,183,0.0,447516,D | DONE | SONE
51337,HLA-DR,0,590,0.0,447130,D | DONE | SONE
51338,Immunophenotyping,0,2330,0.0,445797,CANCEL | CANCELLED | D | DOEN | DONE | PENDING | SEND | SENT | ___
51340,Kappa,0,549,0.0,447151,D | DONE | SONE
51341,Lambda,0,549,0.0,447151,D | DONE
51342,Wright Giemsa,0,0,,447689,
51365,Atypical Lymphocytes,31,3,91.2,447655,___
51366,Bands,97,2,98.0,447591,___
51367,Basophils,45,1,97.8,447643,___
51368,Eosinophils,371,2,99.5,447328,___
51369,"Hematocrit, Joint Fluid",0,345,0.0,447367,___
51370,"Joint Crystals, Birefringence",0,658,0.0,447081,NEG | POS | UNDEF
51371,"Joint Crystals, Comment",0,0,,447689,
51372,"Joint Crystals, Location",0,658,0.0,447081,EXTRAC | I/E | INTRAC
51373,"Joint Crystals, Number",0,2152,0.0,445780,FEW | MANY | MOD | NONE
51374,"Joint Crystals, Shape",0,658,0.0,447081,NEEDLE | OTHER | RHOMBOID | ROD
51375,Lymphocytes,2461,20,99.2,445523,___
51376,Macrophage,1052,93,91.9,446634,___
51377,Mesothelial Cells,36,15,70.6,447639,___
51378,Metamyelocytes,13,1,92.9,447676,___
51379,Monocytes,2458,23,99.1,445523,___
51380,NRBC,31,0,100.0,447658,
51381,Other,2,137,1.4,447552,___
51382,Polys,2086,395,84.1,445523,___
51383,"RBC, Joint Fluid",2017,111,94.8,445799,___
51385,Atypical Lymphocytes,129,23,84.9,447542,___
51386,Bands,191,8,96.0,447505,___
51387,Basophils,249,6,97.6,447448,___
51388,CD10,0,854,0.0,446899,D | DONE
51389,CD103,0,7,0.0,447682,DONE
51390,CD117,0,47,0.0,447654,D | DONE
51391,CD11c,0,16,0.0,447673,DONE
51392,CD13,0,74,0.0,447634,D | DONE
51393,CD138,0,35,0.0,447655,D | DONE
51394,CD14,0,27,0.0,447666,D | DONE
51395,CD15,0,48,0.0,447653,D | DONE
51396,CD16,0,9,0.0,447682,DONE
51397,CD16/56,0,50,0.0,447640,D | DONE
51398,CD19,187,1428,11.6,446303,D | DONE | ___
51399,CD2,0,480,0.0,447244,D | DONE
51400,CD20,0,853,0.0,446899,D | DOME | DONE
51401,CD22,0,12,0.0,447677,DONE
51402,CD23,0,650,0.0,447081,D | DONE
51403,CD25,0,17,0.0,447673,DONE
51404,CD3,219,746,22.7,446856,D | DONE | ___
51405,CD33,0,34,0.0,447664,D | DONE
51406,CD34,334,120,73.6,447391,D | DONE | ___
51407,CD38,0,31,0.0,447658,D | DONE
51408,CD4,2,137,1.4,447560,- | D | DONE
51409,CD4/CD8 Ratio,19,2,90.5,447669,DONE | ___
51410,CD41,0,8,0.0,447681,DONE
51411,CD45,0,1667,0.0,446275,D | DONE
51412,CD5,0,885,0.0,446873,D | DONE
51413,CD56,0,43,0.0,447650,D | DONE
51414,CD57,0,8,0.0,447683,DONE
51415,CD64,0,21,0.0,447671,D | DONE
51416,CD7,0,484,0.0,447240,D | DHNE | DONE
51417,CD71,0,9,0.0,447681,DONE
51418,CD8,2,134,1.5,447562,- | D | DONE
51419,Eosinophils,1597,18,98.9,446297,___
51420,FMC-7,0,650,0.0,447082,D | DONE
51421,Glyco A,0,8,0.0,447682,DONE
51422,"Hematocrit, Other Fluid",0,409,0.0,447308,___
51423,HLA-DR,0,664,0.0,447070,D | DONE
51424,Immunophenotyping,0,3297,0.0,444907,CANCEL | CANCELED | CANCELLED | CANCLLED | CNACEL | D | DONE | DONR | ONE | SENT | ___
51425,Kappa,0,1311,0.0,446513,D | DONE
51426,Lambda,0,1310,0.0,446514,D | DONE
51427,Lymphocytes,5034,159,96.9,443637,___
51428,Macrophage,2701,1018,72.6,444698,___
51429,Mesothelial cells,797,305,72.3,446760,___
51430,Metamyelocytes,28,3,90.3,447659,___
51431,Monos,5099,94,98.2,443637,___
51432,Myelocytes,21,1,95.5,447668,___
51433,NRBC,92,4,95.8,447597,___
51434,Other Cell,30,1881,1.6,446046,___
51435,Plasma,82,21,79.6,447587,___
51436,Polys,4049,1144,78.0,443637,___
51437,Promyelocytes,14,4,77.8,447672,___
51438,"RBC, Other Fluid",1462,255,85.1,446323,___
51440,Atypical Lymphocytes,281,62,81.9,447360,___
51441,Bands,179,6,96.8,447511,___
51442,Basophils,540,7,98.7,447192,___
51443,Blasts,5,6,45.5,447679,___
51444,Eosinophils,2070,20,99.0,445876,___
51445,"Hematocrit, Pleural",1,833,0.1,447015,___
51446,Lymphocytes,7007,531,93.0,441953,___
51447,Macrophages,4767,741,86.5,443248,___
51448,Mesothelial Cells,3395,841,80.1,444165,___
51449,Metamyelocytes,33,0,100.0,447656,
51450,Monos,7445,93,98.8,441953,___
51451,Myelocytes,19,0,100.0,447670,
51452,NRBC,128,4,97.0,447559,___
51453,Other,25,3229,0.8,444961,___
51454,Plasma Cells,553,125,81.6,447092,___
51455,Polys,6706,832,89.0,441953,___
51456,Promyelocytes,29,6,82.9,447655,___
51457,"RBC, Pleural",6767,259,96.3,442312,___
51460,"Blood, Occult",0,0,,447689,
51461,Ammonium Biurate,0,8,0.0,447681,FEW | MANY | MOD
51462,Amorphous Crystals,1,1712,0.1,446142,FEW | MANY | MOD | NONE | OCC | RARE | ___
51463,Bacteria,453,21183,2.1,431490,F | F' | FEW | FEW' | LRG | M | MA | MANY | MO | MOD | MOD- | MODERATE | N | NEG | NONE | NOT DONE | O | OCC | R | RARE | SMALL | ___
51464,Bilirubin,0,35232,0.0,421233,BEH | LARGE | LG | MOD | N | NEG | SM | ___
51465,Bilirubin Crystals,0,50,0.0,447640,FEW | MOD | OCC | RARE
51466,Blood,1,35314,0.0,421149,LARGE | LG | LGE | LRG | M | MO | MOD | MODERATE | NEG | NEGATIVE | SM | SMALL | TR | TRACE | ___
51467,Broad Casts,69,2,97.2,447618,0-2 | 3-5
51468,Calcium Carbonate Crystals,0,5,0.0,447684,FEW | MOD | OCC
51469,Calcium Oxalate Crystals,0,383,0.0,447317,FEW | MANY | MOD | NONE | OCC | RARE | ___
51470,Calcium Phosphate Crystals,0,7,0.0,447682,FEW | OCC | RARE
51471,Cellular Cast,493,23,95.5,447188,0-2 | <1 | ___
51472,Cholesterol Crystals,0,4,0.0,447685,FEW | MANY | MOD | OCC
51473,Cysteine Crystals,0,1,0.0,447688,OCC
51474,Eosinophils,0,0,,447689,
51475,Epithelial Casts,3,5,37.5,447681,0-2 | 3-5 | <1
51476,Epithelial Cells,129807,14366,90.0,346335,0-2 | 1/HPF | 11-20 | 11-20- | 21-50 | 3-5 | 6-10 | <1 | >1000 | >50 | NOT DONE | O-2 | ___
51477,Free Fat,0,0,,447689,
51478,Glucose,22391,31785,41.3,406658,>1000 | N | NEG | TR | ___
51479,Granular Casts,9073,1509,85.7,438749,"0-2 | 0-2 COARSE | 0-2 COARSE & FINE GRANULAR CASTS | 0-2 COARSE GRANULAR CASTS | 0-2 FINE GRANULAR CASTS | 0-2,COARSE | 11-20 | 21-50 | 3-5 | 3-5 COARSE GRANULAR CASTS | 6-10 | 6/LPF | <1 | >50 | RARE COARSE GRANULAR CAST | ___"
51480,Hematocrit,3,6,33.3,447680,___
51481,Hemosiderin,0,0,,447689,
51482,Hyaline Casts,49227,2906,94.4,407075,0--2 | 0-2 | 11-20 | 14/LPF | 21-50 | 3-5 | 6-10 | <1 | >50 | ___
51484,Ketone,31432,30284,50.9,399866,>150 | >80 | >=160 | N | NEG | TR | TRACE | ___
51485,Leucine Crystals,0,3,0.0,447686,RARE
51486,Leukocytes,1,35251,0.0,421215,LARGE | LG | MD | MOD | N | NEG | SM | SMALL | TR | TRACE | ___
51487,Nitrite,0,35217,0.0,421240,N | NEG | NEGATIVE | POS | POSITIVE | ___
51488,Non-squamous Epithelial Cells,4,25,13.8,447660,<1 | ___
51489,NonSquamous Epithelial Cell,36,10,78.3,447643,___
51490,Oval Fat Body,0,12,0.0,447678,OCC | RARE
51491,pH,247599,156,99.9,288427,NOTDONE | ___
51492,Protein,105482,24328,81.3,359991,>300 | >600 | >=300 | NEG | NEGATIVE | TR | ___
51493,RBC,138731,17785,88.6,339329,0-2 | 0-20-2R | 0.-2 | 11-20 | 21-50 | 3-5 | 3-5- | 6-10 | 6-10. | 6-106-10 | <1 | >1000 | >182 | >50 | NOT DONE | O | ___
51494,RBC Casts,39,28,58.2,447623,0-2 | 3-5 | <1 | ___
51495,RBC Clumps,0,7,0.0,447682,FEW | OCC | RARE
51496,"Reducing Substances, Urine",0,2,0.0,447687,___
51497,Renal Epithelial Cells,364,611,37.3,446728,0-2 | 11-20 | 3-5 | 6-10 | <1 | >50 | ___
51498,Specific Gravity,241498,1922,99.2,290977,.1.012 | .1.030 | 1..024 | 1..025 | 1.0.14 | 1.0.15 | 1.0.17 | 1.019\ | 1.027. | 1/021 | <1.005 | <1.050 | <=1.005 | > 1.035 | >1.030 | >1.035 | >1.035 REFRA | >1.035 REFRACTOMETER | >1.038 | >1.050 | >1.35 | >10.30 | >=1.030 | >=1.035 | ?1.010 | LESS THAN 1.005 | NOTDONE | ___
51499,Sperm,0,79,0.0,447611,FEW | MANY | MOD | OCC | R | RARE | ___
51500,Sulfonamides,0,3,0.0,447686,FEW | MOD
51501,Transitional Epithelial Cells,5887,1606,78.6,440808,0-2 | 11-20 | 21-50 | 3-5 | 6-10 | <1 | >50 | ___
51502,Trichomonas,0,25,0.0,447665,FEW | MANY | MOD | OCC | RARE | ___
51503,Triple Phosphate Crystals,0,80,0.0,447611,FEW | MANY | MOD | O | OCC | RARE
51504,Tyrosine Crystals,0,2,0.0,447687,FEW | RARE
51505,Uric Acid Crystals,0,275,0.0,447437,FEW | MANY | MOD | OCC | RARE
51506,Urine Appearance,0,35765,0.0,420785,AMBER | BLOODY | CL | CLDY | CLEAR | CLO | CLOU | CLOUDY | H | HA | HAZY | PINK | RED | S | SLCLDY | SLCLOUDY | SLHAZY | TURBID | ___
51507,"Urine Casts, Other",75,71,51.4,447544,___
51508,Urine Color,1,39684,0.0,417655,A | AM | AMB | AMBER | ANBER | BLACK | BLUE | BRO | BROWN | COLORLESS | DAMBER | DK | DKA | DKAM | DKAMB | DKAMBER | DKAML | DKBROWN | DKGREEN | DKMB | DKYEL | DKYELLO | DKYELLOW | DLAMB | DRAMB | DRKAMB | DRKMB | E | GREEN | GREY | HAZY | LTAMB | LTAMBER | LTBROWN | MAUVE | O | OPAQUE | OR | ORANGE | OTHER | P | PINK | R | RED | STR | STRAW | TELLOW | UELLOW | WHITE | Y | YEL | YELLLOW | YELLO | YELLOW | ___
51509,Urine Comments,0,134,0.0,447557,"ABNORMAL URINE COLOR INTREPRET DIPSTICK RESULTS WITH CAUTION | BILE STAINED SEDIMENTS | CELLULAR CAST 3 | DUE TO ABNORMAL COLOR INTERPRET DIPSTICK WITH CAUTION | DUE TO ABNORMAL COLOR INTREPRET DIPSTICK RESULTS WITH CAUTION | DUE TO ABNORMAL COLOR INTREPRET DIPSTICK WITH CAUTION | DUE TO ABNORMAL COLOR, INTERPRET DIPSTICK RESULTS WITH CAUTION | DUE TO ABNORMAL URINE COLOR INTERPRET DIPSTICK WITH CAUTION | DUE TO ABNORMAL URINE COLOR INTREPRET DIPSTICK RESULTS WITH CAUTION | DUE TO ABNORMAL URINE COLOR INTREPRET DIPSTICK WITH CAUTION | DUE TO ABNORMAL URINE COLOR, INTERPRET DIPSTICK RESULTS WITH CAUTION | DUE TO ABNORMAL URINE COLOR, INTERPRET DIPSTICK WITH CAUTION | FEW  SODIUM URATE CRYSTALS | FEW CALCIUM SULFATE CRYSTALS | FEW SODIUM URATE CRYSTALS PRESENT | FEW SODIUM URATE CRYSTALS SEEN | INTERPRET DIPSTICK RESULTS WITH CAUTION | MICROSCOPIC DONE ON UNSPUN SAMPLE | MOD UNKNOWN CRYSTALS, CANNOT RULE OUT CONTAMINATION | MOD XRAY CRYSTALS SEEN | NOTIFIED ___ OF CHANGED RESULTS @12:25A ___ | OCC CELLULAR CAST SEEN | QNS FOR SEDIMENT | RARE NA URATE CRYSTAL | RARE SODIUM URATE CRYSTALS SEEN | RE-EXAMINED SEDIMENT FOR CASTS PER MD REQUEST NONE SEEN | SEDIMENT DONE ON <3MLS. | SEDIMENT DONE ON LESS THAN 1 ML. | SEDIMENT DONE ON LESS THAN 1ML | SEDIMENT DONE ON LESS THAN 1ML. | SEDIMENT DONE ON LESS THAN 2 MLS | SEDIMENT DONE ON LESS THAN 2ML | SEDIMENT DONE ON LESS THAN 2MLS | SEDIMENT DONE ON LESS THAN 2MLS. | SEDIMENT DONE ON LESS THAN 3 ML | SEDIMENT DONE ON LESS THAN 3 MLS | SEDIMENT DONE ON LESS THAN 3 MLS. | SEDIMENT DONE ON LESS THAN 3.0MLS | SEDIMENT DONE ON LESS THAN 3MLS | SEDIMENT DONE ON LESS THAN 4.0 MLS. | SEDIMENT DONE ON LESS THAN 5 MLS. | SEDIMENT DONE ON UNCONCENTRATED URINE, LESS THAN 1ML OF SPECIMEN REC'D | SEDIMENT DONE ON UNSPUN SAMPLE | SEDIMENT PERFORMED ON  LESS THAN 2CC OF URINE | SEDIMENT PERFORMED ON < 2CC | SEDIMENT REVIEWED BY ___ | SMALL CLOT IN THIS SPECIMEN | SODIUM URATE CRYSTALS RARE | SP.GRAV. CONFIRMED ON REFRACTOMETER | SPECIFIC GRAVITY VERIFIED BY REPLICATE ANALYSIS | SPECIMEN FROM NEPHROSTOMY BAG | SPECIMEN LESS THAN 2 CC | SPERM PRESENT | SPERM SEEN | URINE CLEAR WITH PIECES OF RED SEDIMENTATION | X-RAYS DYE CRYSTALS PRESENT"
51510,"Urine Crystals, Other",0,79,0.0,447610,ARTIFACT | FEW | IDENTIFIED AS ARTIFACT | MANY | MOD | NONE | OCC | RARE | SODIUM URATES RARE | ___
51511,Urine Fat Bodies,0,21,0.0,447668,FEW | RARE | RARE/VERIFIED
51512,Urine Mucous,1,2861,0.0,445025,0CC | FEW | FEW] | MANY | MOD | OCC | RARE | ___
51513,Urine Specimen Type,6,397,1.5,447291,CATH | CLEAN | RANDOM | UNK | ___
51514,Urobilinogen,37881,25198,60.1,399580,>8 | >=8 | N | NEG | NORMAL | ___
51515,Waxy Casts,108,41,72.5,447540,0-2 | 3-5 | <1 | ___
51516,WBC,138042,18778,88.0,340012,0- | 0-2 | 11-20 | 2--50 | 21-50 | 3-5 | 3-53O | 3.-5 | 6-10 | <1 | >1000 | >182 | >50 | NOT DONE | O | UNABLE TO REPORT | ___
51517,WBC Casts,224,89,71.6,447380,0-2 | 3-5 | <1 | ___
51518,WBC Clumps,0,259,0.0,447433,FEW | MANY | MOD | NONE | O | OCC | RARE | ___
51519,Yeast,0,145813,0.0,349384,F | FEW | M | MANY | MOD | MODERATE | N | NONE | OCC | OCCAS | RARE | ___
51564,ARCH-1,11234,1,100.0,436763,___
51567,Beta Hydroxybutyrate,970,23,97.7,446974,___
51579,CA 19-9,0,799,0.0,446921,___
51586,CMV IgG Ab,0,1697,0.0,446040,___
51587,CMV IgG Ab Value,1533,0,100.0,446200,
51588,CMV IgM Ab,0,1347,0.0,446363,___
51590,CMV Interpretation,0,30,0.0,447659,___
51598,Cytomegalovirus Viral Load,0,412,0.0,447501,___
51613,eAG,0,40825,0.0,408170,___
51614,Epstein-Barr Virus  EBNA IgG Ab,0,0,,447689,
51615,Epstein-Barr Virus EBNA IgG Ab,1434,0,100.0,446279,
51616,Epstein-Barr Virus IgG Ab Value,1345,0,100.0,446364,
51617,Epstein-Barr Virus IgM Ab Value,1466,0,100.0,446247,
51618,Epstein-Barr Virus Interpretation,22,0,100.0,447667,
51619,Epstein-Barr Virus VCA IgG Ab,0,0,,447689,
51620,Epstein-Barr Virus VCA IgM Ab,0,0,,447689,
51621,Ethylene Glycol,10,10,50.0,447677,___
51625,Free Kappa,2978,306,90.7,444863,___
51626,Free Kappa/Free Lambda Ratio,2645,588,81.8,444896,A | ___
51627,Free Lambda,3055,211,93.5,444871,___
51648,Hepatitis B Viral Load,0,146,0.0,447559,___
51651,Hepatitis C Viral Load,0,539,0.0,447167,___
51652,High-Sensitivity CRP,0,160,0.0,447539,___
51653,HIV 1 Ab Confirmation,0,1,0.0,447688,NEG
51654,HIV 1 Viral Load,0,244,0.0,447456,___
51655,HIV 2 Ab Confirmation,0,1,0.0,447688,NEG
51657,HPE1,15304,0,100.0,433739,
51658,HPE2,5254,0,100.0,442833,
51659,HPE3,13926,0,100.0,434911,
51660,HPE4,2490,0,100.0,445250,
51661,HPE5,1050,0,100.0,446677,
51662,HPE6,2461,0,100.0,445279,
51663,HPE7,13927,0,100.0,434757,
51664,HPE8,136,0,100.0,447553,
51665,HPE9,5,0,100.0,447684,
51666,H. pylori IgG Ab,0,213,0.0,447479,___
51667,H. pylori IgG Ab Value,208,0,100.0,447484,
51677,K (GREEN),4,0,100.0,447686,
51678,L,1525086,12,100.0,264093,___
51688,Lyme C6 Ab,0,0,,447689,
51689,Lyme G and M Value,1533,0,100.0,446195,
51693,Mumps IgG Ab,0,340,0.0,447351,___
51694,Mumps IgG Ab Value,320,0,100.0,447371,
51706,Problem Specimen,3,4,42.9,447682,___
51713,Reflex Confirmatory Hepatitis C Viral Load,0,33,0.0,447656,___
51714,Reflex HIV Confirmation,0,0,,447689,
51722,RFXLDLM,0,0,,447689,
51724,Rubella IgG Ab,0,386,0.0,447308,___
51725,Rubeola IgG Ab,0,337,0.0,447362,___
51726,Rubeola IgG Ab Value,308,0,100.0,447389,
51732,STX1,617,0,100.0,447172,
51733,STX2,1088,0,100.0,446616,
51734,STX3,3038,0,100.0,444865,
51735,STX4,2801,0,100.0,444967,
51736,STX5,2802,0,100.0,444969,
51737,STX6,8951,0,100.0,438967,
51741,Toxoplasma IgG Ab,0,627,0.0,447087,___
51742,Toxoplasma IgG Ab Value,623,0,100.0,447091,
51743,Toxoplasma IgM Ab,0,254,0.0,447440,___
51744,Toxoplasma IgM Ab Value,255,0,100.0,447440,
51745,Toxoplasma Interpretation,1,0,100.0,447688,
51748,Treponema pallidum (Syphilis) Ab,0,3120,0.0,444656,___
51749,Treponema pallidum (syphilis) value,3007,0,100.0,444764,
51752,Voided Specimen,1,0,100.0,447688,
51753,VZV IgG Ab,0,500,0.0,447201,___
51754,VZV IgG Ab Value,479,0,100.0,447221,
51762,EE1,282,0,100.0,447423,
51763,EE2,258,0,100.0,447446,
51764,EE7,233,0,100.0,447466,
51765,EE3,74,0,100.0,447616,
51767,EE5,74,0,100.0,447615,
51768,EE6,264,0,100.0,447434,
51769,RUBIgGV,372,0,100.0,447322,
51772,PAN3,62,0,100.0,447629,
51776,<Albumin>,4,0,100.0,447685,
51783,"Bilirubin, Total, CSF",3,0,100.0,447686,
51790,"Glucose, CSF",8137,12,99.9,441067,___
51791,HIV 1 Viral Load,0,4,0.0,447685,___
51795,"Lactate Dehydrogenase, CSF",1109,289,79.3,446375,___
51796,"Miscellaneous, CSF",0,0,,447689,
51798,"PEP, CSF",0,0,,447689,
51802,"Total Protein, CSF",8216,139,98.3,440964,___
51806,Voided Specimen,0,0,,447689,
51826,"Uric Acid, Joint Fluid",1,0,100.0,447688,
51827,Voided Specimen,0,0,,447689,
51839,Anat Path Hold,0,0,,447689,
51846,Chlamydia trachomatis,0,0,,447689,
