itemid,label,n_ranges,ref_range_lower,ref_range_upper,n_hadm_with_range,units,n_hadm_no_range,n_hadm_no_value
51202,Factor II,2,85.0,145.0,154.0,%,0,447538
51203,Factor IX,3,50.0,150.0,21.0,%,0,447550
51203,Factor IX,3,50.0,200.0,5.0,%,0,447550
51203,Factor IX,3,70.0,165.0,127.0,%,0,447550
51204,Factor V,2,50.0,140.0,222.0,%,0,447453
51204,Factor V,2,50.0,150.0,26.0,%,0,447453
51205,Factor VII,2,50.0,150.0,30.0,%,0,447341
51205,Factor VII,2,65.0,180.0,333.0,%,0,447341
51206,Factor VIII,2,50.0,150.0,142.0,%,0,446758
51206,Factor VIII,2,50.0,200.0,816.0,%,0,446758
51207,Factor VIII Inhibitor,1,0.0,0.03,27.0,BU,5,447672
51208,Factor X,2,50.0,150.0,20.0,%,0,447497
51208,Factor X,2,80.0,160.0,183.0,%,0,447497
51209,Factor XI,3,50.0,150.0,16.0,%,0,447589
51209,Factor XI,3,65.0,155.0,89.0,%,0,447589
51209,Factor XI,3,80.0,180.0,4.0,%,0,447589
51210,Factor XII,3,40.0,150.0,2.0,%,0,447665
51210,Factor XII,3,50.0,180.0,26.0,%,0,447665
51210,Factor XII,3,60.0,200.0,1.0,%,0,447665
51211,Factor XIII,0,,,,,0,447689
51212,Fetal Hemoglobin,0,,,,,260,447429
51213,Fibrin Degradation Products,1,0.0,10.0,2114.0,ug/mL,0,445584
51214,"Fibrinogen, Functional",2,150.0,400.0,8597.0,mg/dL,0,405626
51214,"Fibrinogen, Functional",2,180.0,400.0,33662.0,mg/dL,0,405626
51215,FMC-7,0,,,,,339,447350
51216,Fragmented Cells,0,,,,,0,447689
51217,Glyco A,0,,,,,107,447582
51218,Granulocyte Count,1,2200.0,8250.0,3603.0,#/uL,0,444088
51219,H/O Smear,0,,,,,836,446853
51220,Heinz Body Prep,0,,,,,0,447689
51221,Hematocrit,4,34.0,45.0,109711.0,%,0,17133
51221,Hematocrit,4,36.0,48.0,112970.0,%,0,17133
51221,Hematocrit,4,40.0,51.0,105641.0,%,0,17133
51221,Hematocrit,4,40.0,52.0,102643.0,%,0,17133
51222,Hemoglobin,4,11.2,15.7,108057.0,g/dL,0,25413
51222,Hemoglobin,4,12.0,16.0,109529.0,g/dL,0,25413
51222,Hemoglobin,4,13.7,17.5,104872.0,g/dL,0,25413
51222,Hemoglobin,4,14.0,18.0,100218.0,g/dL,0,25413
51223,Hemoglobin A2,3,2.2,3.2,56.0,%,0,447362
51223,Hemoglobin A2,3,2.2,3.3,187.0,%,0,447362
51223,Hemoglobin A2,3,2.5,3.3,84.0,%,0,447362
51224,Hemoglobin C,1,0.0,0.0,396.0,%,0,447293
51225,Hemoglobin F,1,0.0,2.0,334.0,%,0,447416
51226,Hemogloblin A,1,96.8,97.8,60.0,%,336,447293
51227,Hemogloblin S,1,0.0,0.0,396.0,%,0,447293
51228,Heparin,1,0.3,0.7,1935.0,IU/mL | U/mL,0,445885
51229,"Heparin, LMW",1,0.6,1.0,648.0,IU/mL,918,446151
51230,HLA-DR,0,,,,,444,447245
51231,Howell-Jolly Bodies,0,,,,,2,447687
51232,Hypersegmented Neutrophils,1,0.0,0.0,315.0,%,0,447375
51233,Hypochromia,0,,,,,24,447665
51234,Immunophenotyping,0,,,,,1190,446499
51235,Inhibitor Screen,0,,,,,332,447357
51236,Inpatient Hematology/Oncology Smear,0,,,,,1100,446589
51237,INR(PT),1,0.9,1.1,273167.0,,0,174974
51238,Kappa,0,,,,,457,447232
51239,Lambda,0,,,,,457,447232
51240,Large Platelets,0,,,,,4,447685
51241,Leukocyte Alkaline Phosphatase,1,30.0,130.0,21.0,Score,0,447668
51242,LUC,0,,,,,0,447689
51243,Lupus Anticoagulant,0,,,,,1438,446251
51244,Lymphocytes,3,7.0,59.0,17.0,%,0,263986
51244,Lymphocytes,3,18.0,42.0,83731.0,%,0,263986
51244,Lymphocytes,3,19.0,53.0,100207.0,%,0,263986
51245,"Lymphocytes, Percent",2,18.0,42.0,1296.0,%,0,445401
51245,"Lymphocytes, Percent",2,19.0,53.0,993.0,%,0,445401
51246,Macrocytes,0,,,,,26,447663
51247,MacroOvalocytes,0,,,,,0,447689
51248,MCH,2,26.0,32.0,212071.0,pg,0,26403
51248,MCH,2,27.0,32.0,209644.0,pg,0,26403
51249,MCHC,2,31.0,35.0,209648.0,%,0,26392
51249,MCHC,2,32.0,37.0,212071.0,g/dL,0,26392
51250,MCV,1,82.0,98.0,421393.0,fL,0,26397
51251,Metamyelocytes,1,0.0,0.0,34352.0,%,0,413342
51252,Microcytes,0,,,,,24,447665
51254,Monocytes,3,2.0,11.0,83731.0,%,0,263986
51254,Monocytes,3,4.0,9.0,17.0,%,0,263986
51254,Monocytes,3,5.0,13.0,100207.0,%,0,263986
51255,Myelocytes,1,0.0,0.0,33884.0,%,0,413810
51256,Neutrophils,3,30.0,77.0,17.0,%,0,263986
51256,Neutrophils,3,34.0,71.0,100207.0,%,0,263986
51256,Neutrophils,3,50.0,70.0,83731.0,%,0,263986
51257,Nucleated Red Cells,1,0.0,0.0,20309.0,%,0,428056
51259,Other Cells,1,0.0,0.0,3272.0,%,0,444418
51260,Ovalocytes,0,,,,,4,447685
51261,Pappenheimer Bodies,0,,,,,0,447689
51262,Pencil Cells,0,,,,,0,447689
51263,Plasma Cells,1,0.0,0.0,1216.0,%,0,446475
51264,Platelet Clumps,0,,,,,0,447689
51265,Platelet Count,2,150.0,400.0,212803.0,K/uL,0,23703
51265,Platelet Count,2,150.0,440.0,211703.0,K/uL,0,23703
51266,Platelet Smear,0,,,,,4,447685
51267,Poikilocytosis,0,,,,,7,447682
51268,Polychromasia,0,,,,,6,447683
51269,Promyelocytes,1,0.0,0.0,3857.0,%,0,443833
51270,"Protein C, Antigen",1,70.0,140.0,48.0,%,0,447641
51271,"Protein C, Functional",2,67.0,123.0,225.0,%,0,446967
51271,"Protein C, Functional",2,70.0,170.0,510.0,%,0,446967
51272,"Protein S, Antigen",1,70.0,140.0,66.0,%,0,447624
51273,"Protein S, Functional",2,50.0,150.0,496.0,%,0,446994
51273,"Protein S, Functional",2,51.0,133.0,216.0,%,0,446994
51274,PT,3,9.4,12.5,205472.0,sec,0,174977
51274,PT,3,10.4,13.1,2.0,sec,0,174977
51274,PT,3,10.4,13.4,67832.0,sec,0,174977
51275,PTT,2,22.0,35.0,65639.0,sec,0,185449
51275,PTT,2,25.0,36.5,197314.0,sec,0,185449
51276,Quantitative G6PD,1,6.0,12.4,746.0,U/g/Hb,0,446964
51277,RDW,1,10.5,15.5,421391.0,%,0,26477
51279,Red Blood Cells,4,3.9,5.2,107539.0,m/uL,0,26395
51279,Red Blood Cells,4,4.2,5.4,109492.0,m/uL,0,26395
51279,Red Blood Cells,4,4.6,6.1,104533.0,m/uL,0,26395
51279,Red Blood Cells,4,4.6,6.2,100152.0,m/uL,0,26395
51280,Reptilase Time,1,15.0,25.0,4.0,sec,0,447688
51281,Reptilase Time Control,0,,,,,1,447688
51282,"Reticulocyte Count, Absolute",2,0.02,0.1,16983.0,m/uL,0,430760
51282,"Reticulocyte Count, Absolute",2,0.03,0.1,3.0,m/uL,0,430760
51283,"Reticulocyte Count, Automated",2,0.4,2.0,16852.0,%,0,421247
51283,"Reticulocyte Count, Automated",2,1.2,3.2,9637.0,%,0,421247
51284,"Reticulocyte Count, Manual",2,0.4,2.0,315.0,%,0,446426
51284,"Reticulocyte Count, Manual",2,0.5,1.5,949.0,%,0,446426
51286,Ristocetin,0,,,,,0,447689
51287,Schistocytes,0,,,,,3,447686
51288,Sedimentation Rate,2,0.0,15.0,4987.0,mm/hr,0,437601
51288,Sedimentation Rate,2,0.0,20.0,5138.0,mm/hr,0,437601
51289,Serum Viscosity,1,1.4,1.8,279.0, ,0,447415
51290,Sickle Cell Preparation,0,,,,,0,447689
51291,Sickle Cells,0,,,,,4,447685
51292,Spherocytes,0,,,,,4,447685
51294,Target Cells,0,,,,,4,447685
51295,TdT,0,,,,,23,447666
51296,Teardrop Cells,0,,,,,5,447684
51297,Thrombin,5,10.0,13.0,229.0,sec,0,446392
51297,Thrombin,5,10.3,16.3,546.0,sec,0,446392
51297,Thrombin,5,10.3,16.6,497.0,sec,0,446392
51297,Thrombin,5,13.0,22.0,36.0,sec,0,446392
51297,Thrombin,5,16.0,20.0,7.0,sec,0,446392
51298,Von Willebrand Factor Activity,1,50.0,200.0,373.0,%,0,447352
51299,Von Willebrand Factor Antigen,2,50.0,180.0,287.0,%,0,447330
51299,Von Willebrand Factor Antigen,2,60.0,158.0,83.0,%,0,447330
51300,WBC Count,2,4.0,10.0,993.0,K/uL,0,445401
51300,WBC Count,2,4.0,11.0,1296.0,K/uL,0,445401
51301,White Blood Cells,2,4.0,10.0,212165.0,K/uL,0,26139
51301,White Blood Cells,2,4.0,11.0,209787.0,K/uL,0,26139
51302,Young Cells,1,0.0,0.0,56.0,%,0,447634
51304,CD103,0,,,,,8,447681
51305,CD117,0,,,,,292,447397
51306,CD11c,0,,,,,194,447495
51307,CD13,0,,,,,334,447355
51308,CD138,0,,,,,6,447683
51309,CD14,0,,,,,241,447448
51310,CD15,0,,,,,284,447405
51311,CD16,0,,,,,16,447673
51312,CD16/56,0,,,,,67,447622
51313,CD19,0,,,,,597,447092
51314,CD2,0,,,,,382,447307
51315,CD20,0,,,,,535,447154
51316,CD22,0,,,,,10,447679
51317,CD23,0,,,,,355,447334
51318,CD25,0,,,,,16,447673
51319,CD3,0,,,,,566,447123
51320,CD33,0,,,,,255,447434
51321,CD34,0,,,,,365,447324
51322,CD38,0,,,,,12,447677
51323,CD4,0,,,,,260,447429
51324,CD41,0,,,,,175,447514
51325,CD45,0,,,,,717,446972
51326,CD5,0,,,,,529,447160
51328,CD56,0,,,,,215,447474
51329,CD57,0,,,,,17,447672
51331,CD64,0,,,,,210,447479
51332,CD7,0,,,,,390,447299
51333,CD71,0,,,,,176,447513
51334,CD8,0,,,,,248,447441
51335,FMC-7,0,,,,,354,447335
51336,Glyco A,0,,,,,173,447516
51337,HLA-DR,0,,,,,559,447130
51338,Immunophenotyping,0,,,,,1892,445797
51340,Kappa,0,,,,,538,447151
51341,Lambda,0,,,,,538,447151
51342,Wright Giemsa,0,,,,,0,447689
51365,Atypical Lymphocytes,1,0.0,0.0,34.0,%,0,447655
51366,Bands,1,0.0,0.0,98.0,%,0,447591
51367,Basophils,1,0.0,0.0,46.0,%,0,447643
51368,Eosinophils,1,0.0,0.0,361.0,%,0,447328
51369,"Hematocrit, Joint Fluid",1,0.0,0.0,330.0,%,0,447367
51370,"Joint Crystals, Birefringence",0,,,,,608,447081
51371,"Joint Crystals, Comment",0,,,,,0,447689
51372,"Joint Crystals, Location",0,,,,,608,447081
51373,"Joint Crystals, Number",0,,,,,1909,445780
51374,"Joint Crystals, Shape",0,,,,,608,447081
51375,Lymphocytes,1,0.0,75.0,2242.0,%,0,445523
51376,Macrophage,1,0.0,70.0,1055.0,%,0,446634
51377,Mesothelial Cells,1,0.0,0.0,50.0,%,0,447639
51378,Metamyelocytes,1,0.0,0.0,13.0,%,0,447676
51379,Monocytes,1,0.0,70.0,2242.0,%,0,445523
51380,NRBC,1,0.0,0.0,31.0,%,0,447658
51381,Other,1,0.0,0.0,137.0,%,0,447552
51382,Polys,1,0.0,25.0,2242.0,%,0,445523
51383,"RBC, Joint Fluid",2,0.0,0.0,1102.0,#/uL,0,445799
51383,"RBC, Joint Fluid",2,0.0,2000.0,873.0,#/uL,0,445799
51385,Atypical Lymphocytes,1,0.0,0.0,147.0,%,0,447542
51386,Bands,1,0.0,0.0,185.0,%,0,447505
51387,Basophils,1,0.0,0.0,241.0,%,0,447448
51388,CD10,0,,,,,790,446899
51389,CD103,0,,,,,7,447682
51390,CD117,0,,,,,35,447654
51391,CD11c,0,,,,,16,447673
51392,CD13,0,,,,,55,447634
51393,CD138,0,,,,,34,447655
51394,CD14,0,,,,,23,447666
51395,CD15,0,,,,,36,447653
51396,CD16,0,,,,,7,447682
51397,CD16/56,0,,,,,49,447640
51398,CD19,0,,,,,1386,446303
51399,CD2,0,,,,,445,447244
51400,CD20,0,,,,,790,446899
51401,CD22,0,,,,,12,447677
51402,CD23,0,,,,,608,447081
51403,CD25,0,,,,,16,447673
51404,CD3,0,,,,,833,446856
51405,CD33,0,,,,,25,447664
51406,CD34,0,,,,,298,447391
51407,CD38,0,,,,,31,447658
51408,CD4,0,,,,,129,447560
51409,CD4/CD8 Ratio,0,,,,,20,447669
51410,CD41,0,,,,,8,447681
51411,CD45,0,,,,,1414,446275
51412,CD5,0,,,,,816,446873
51413,CD56,0,,,,,39,447650
51414,CD57,0,,,,,6,447683
51415,CD64,0,,,,,18,447671
51416,CD7,0,,,,,449,447240
51417,CD71,0,,,,,8,447681
51418,CD8,0,,,,,127,447562
51419,Eosinophils,1,0.0,0.0,1393.0,%,0,446297
51420,FMC-7,0,,,,,607,447082
51421,Glyco A,0,,,,,7,447682
51422,"Hematocrit, Other Fluid",1,0.0,0.0,413.0,%,0,447308
51423,HLA-DR,0,,,,,619,447070
51424,Immunophenotyping,0,,,,,2782,444907
51425,Kappa,0,,,,,1176,446513
51426,Lambda,0,,,,,1175,446514
51427,Lymphocytes,1,0.0,0.0,4098.0,%,0,443637
51428,Macrophage,1,0.0,0.0,2992.0,%,0,444698
51429,Mesothelial cells,1,0.0,0.0,929.0,%,0,446760
51430,Metamyelocytes,1,0.0,0.0,30.0,%,0,447659
51431,Monos,1,0.0,0.0,4098.0,%,0,443637
51432,Myelocytes,1,0.0,0.0,21.0,%,0,447668
51433,NRBC,1,0.0,0.0,92.0,%,0,447597
51434,Other Cell,1,0.0,0.0,1645.0,%,0,446046
51435,Plasma,1,0.0,0.0,102.0,%,0,447587
51436,Polys,1,0.0,0.0,4098.0,%,0,443637
51437,Promyelocytes,1,0.0,0.0,17.0,%,0,447672
51438,"RBC, Other Fluid",1,0.0,0.0,1418.0,#/uL,0,446323
51440,Atypical Lymphocytes,1,0.0,0.0,329.0,%,0,447360
51441,Bands,1,0.0,0.0,178.0,%,0,447511
51442,Basophils,1,0.0,0.0,498.0,%,0,447192
51443,Blasts,1,0.0,0.0,10.0,%,0,447679
51444,Eosinophils,1,0.0,0.0,1816.0,%,0,445876
51445,"Hematocrit, Pleural",1,0.0,0.0,822.0,%,0,447015
51446,Lymphocytes,1,0.0,0.0,5760.0,%,0,441953
51447,Macrophages,1,0.0,0.0,4446.0,%,0,443248
51448,Mesothelial Cells,1,0.0,0.0,3529.0,%,0,444165
51449,Metamyelocytes,1,0.0,0.0,33.0,%,0,447656
51450,Monos,1,0.0,0.0,5760.0,%,0,441953
51451,Myelocytes,1,0.0,0.0,19.0,%,0,447670
51452,NRBC,1,0.0,0.0,131.0,%,0,447559
51453,Other,1,0.0,0.0,2732.0,%,0,444961
51454,Plasma Cells,1,0.0,0.0,599.0,%,0,447092
51455,Polys,1,0.0,0.0,5760.0,%,0,441953
51456,Promyelocytes,1,0.0,0.0,34.0,%,0,447655
51457,"RBC, Pleural",1,0.0,0.0,5401.0,#/uL,0,442312
51460,"Blood, Occult",0,,,,,0,447689
51461,Ammonium Biurate,0,,,,,8,447681
51462,Amorphous Crystals,0,,,,,1547,446142
51463,Bacteria,0,,,,,16199,431490
51464,Bilirubin,0,,,,,26456,421233
51465,Bilirubin Crystals,0,,,,,49,447640
51466,Blood,0,,,,,26540,421149
51467,Broad Casts,1,0.0,0.0,71.0,#/lpf,0,447618
51468,Calcium Carbonate Crystals,0,,,,,5,447684
51469,Calcium Oxalate Crystals,0,,,,,372,447317
51470,Calcium Phosphate Crystals,0,,,,,7,447682
51471,Cellular Cast,1,0.0,0.0,503.0,#/lpf,0,447188
51472,Cholesterol Crystals,0,,,,,4,447685
51473,Cysteine Crystals,0,,,,,1,447688
51474,Eosinophils,0,,,,,0,447689
51475,Epithelial Casts,1,0.0,0.0,8.0,#/lpf,0,447681
51476,Epithelial Cells,1,0.0,20.0,5857.0,#/hpf,96428,346335
51477,Free Fat,0,,,,,0,447689
51478,Glucose,1,0.0,0.0,54401.0,mg/dL,33891,406658
51479,Granular Casts,1,0.0,0.0,8941.0,#/lpf,0,438749
51480,Hematocrit,0,,,,,9,447680
51481,Hemosiderin,0,,,,,0,447689
51482,Hyaline Casts,1,0.0,0.0,40617.0,#/lpf,0,407075
51484,Ketone,1,0.0,0.0,54401.0,mg/dL,38042,399866
51485,Leucine Crystals,0,,,,,3,447686
51486,Leukocytes,0,,,,,26474,421215
51487,Nitrite,0,,,,,26449,421240
51488,Non-squamous Epithelial Cells,0,,,,,29,447660
51489,NonSquamous Epithelial Cell,0,,,,,46,447643
51490,Oval Fat Body,0,,,,,11,447678
51491,pH,1,5.0,8.0,159282.0,units,0,288427
51492,Protein,1,0.0,0.0,54401.0,mg/dL,55423,359991
51493,RBC,1,0.0,2.0,120581.0,#/hpf,0,339329
51494,RBC Casts,1,0.0,0.0,66.0,#/lpf,0,447623
51495,RBC Clumps,0,,,,,7,447682
51496,"Reducing Substances, Urine",1,0.0,0.0,2.0,%,0,447687
51497,Renal Epithelial Cells,0,,,,,961,446728
51498,Specific Gravity,1,1.001,1.035,159282.0, ,0,290977
51499,Sperm,0,,,,,78,447611
51500,Sulfonamides,0,,,,,3,447686
51501,Transitional Epithelial Cells,0,,,,,6881,440808
51502,Trichomonas,0,,,,,24,447665
51503,Triple Phosphate Crystals,0,,,,,78,447611
51504,Tyrosine Crystals,0,,,,,2,447687
51505,Uric Acid Crystals,0,,,,,252,447437
51506,Urine Appearance,0,,,,,26904,420785
51507,"Urine Casts, Other",1,0.0,0.0,152.0,#/lpf,0,447544
51508,Urine Color,0,,,,,30034,417655
51509,Urine Comments,0,,,,,132,447557
51510,"Urine Crystals, Other",0,,,,,79,447610
51511,Urine Fat Bodies,0,,,,,21,447668
51512,Urine Mucous,0,,,,,2664,445025
51513,Urine Specimen Type,0,,,,,398,447291
51514,Urobilinogen,1,0.2,1.0,159282.0,mg/dL,0,399580
51515,Waxy Casts,1,0.0,0.0,149.0,#/lpf,0,447540
51516,WBC,1,0.0,5.0,120581.0,#/hpf,0,340012
51517,WBC Casts,1,0.0,0.0,309.0,#/lpf,0,447380
51518,WBC Clumps,0,,,,,256,447433
51519,Yeast,0,,,,,98305,349384
51564,ARCH-1,0,,,,,10926,436763
51567,Beta Hydroxybutyrate,1,0.0,0.4,1051.0,mmol/L,0,446974
51579,CA 19-9,1,0.0,35.0,803.0,U/mL,0,446921
51586,CMV IgG Ab,0,,,,,1649,446040
51587,CMV IgG Ab Value,0,,,,,1489,446200
51588,CMV IgM Ab,0,,,,,1326,446363
51590,CMV Interpretation,0,,,,,30,447659
51598,Cytomegalovirus Viral Load,1,0.0,0.0,1963.0,log10 IU/mL,0,447501
51613,eAG,2,68.0,126.0,24611.0,mg/dL,0,408170
51613,eAG,2,91.0,123.0,14910.0,mg/dL,0,408170
51614,Epstein-Barr Virus  EBNA IgG Ab,0,,,,,0,447689
51615,Epstein-Barr Virus EBNA IgG Ab,0,,,,,1410,446279
51616,Epstein-Barr Virus IgG Ab Value,0,,,,,1325,446364
51617,Epstein-Barr Virus IgM Ab Value,0,,,,,1442,446247
51618,Epstein-Barr Virus Interpretation,0,,,,,22,447667
51619,Epstein-Barr Virus VCA IgG Ab,0,,,,,0,447689
51620,Epstein-Barr Virus VCA IgM Ab,0,,,,,0,447689
51621,Ethylene Glycol,2,0.0,20.0,10.0,mg/dL,0,447677
51621,Ethylene Glycol,2,10.0,10.0,151.0,mg/dL,0,447677
51625,Free Kappa,1,3.3,19.4,2839.0,mg/L,0,444863
51626,Free Kappa/Free Lambda Ratio,1,0.26,1.65,2827.0,,0,444896
51627,Free Lambda,1,5.7,26.3,2838.0,mg/L,0,444871
51648,Hepatitis B Viral Load,1,0.0,0.0,1441.0,log10 IU/mL,0,447559
51651,Hepatitis C Viral Load,1,0.0,0.0,1601.0,log10 IU/mL,0,447167
51652,High-Sensitivity CRP,0,,,,,150,447539
51653,HIV 1 Ab Confirmation,0,,,,,1,447688
51654,HIV 1 Viral Load,1,0.0,0.0,1058.0,log10 cop/mL | log10 copies/mL,0,447456
51655,HIV 2 Ab Confirmation,0,,,,,1,447688
51657,HPE1,0,,,,,13950,433739
51658,HPE2,0,,,,,4856,442833
51659,HPE3,0,,,,,12778,434911
51660,HPE4,0,,,,,2439,445250
51661,HPE5,0,,,,,1012,446677
51662,HPE6,0,,,,,2410,445279
51663,HPE7,0,,,,,12932,434757
51664,HPE8,0,,,,,136,447553
51665,HPE9,0,,,,,5,447684
51666,H. pylori IgG Ab,0,,,,,210,447479
51667,H. pylori IgG Ab Value,0,,,,,205,447484
51677,K (GREEN),1,3.3,5.1,3.0,mEq/L,0,447686
51678,L,1,0.0,60.0,101.0,U,183495,264093
51688,Lyme C6 Ab,0,,,,,0,447689
51689,Lyme G and M Value,0,,,,,1494,446195
51693,Mumps IgG Ab,0,,,,,338,447351
51694,Mumps IgG Ab Value,0,,,,,318,447371
51706,Problem Specimen,0,,,,,7,447682
51713,Reflex Confirmatory Hepatitis C Viral Load,1,0.0,0.0,75.0,log10 IU/mL,0,447656
51714,Reflex HIV Confirmation,0,,,,,0,447689
51722,RFXLDLM,0,,,,,0,447689
51724,Rubella IgG Ab,0,,,,,381,447308
51725,Rubeola IgG Ab,0,,,,,327,447362
51726,Rubeola IgG Ab Value,0,,,,,300,447389
51732,STX1,0,,,,,517,447172
51733,STX2,0,,,,,1073,446616
51734,STX3,0,,,,,2824,444865
51735,STX4,0,,,,,2722,444967
51736,STX5,0,,,,,2720,444969
51737,STX6,0,,,,,8722,438967
51741,Toxoplasma IgG Ab,0,,,,,602,447087
51742,Toxoplasma IgG Ab Value,0,,,,,598,447091
51743,Toxoplasma IgM Ab,0,,,,,249,447440
51744,Toxoplasma IgM Ab Value,0,,,,,249,447440
51745,Toxoplasma Interpretation,0,,,,,1,447688
51748,Treponema pallidum (Syphilis) Ab,0,,,,,3033,444656
51749,Treponema pallidum (syphilis) value,0,,,,,2925,444764
51752,Voided Specimen,0,,,,,1,447688
51753,VZV IgG Ab,0,,,,,488,447201
51754,VZV IgG Ab Value,0,,,,,468,447221
51762,EE1,0,,,,,266,447423
51763,EE2,0,,,,,243,447446
51764,EE7,0,,,,,223,447466
51765,EE3,0,,,,,73,447616
51767,EE5,0,,,,,74,447615
51768,EE6,0,,,,,255,447434
51769,RUBIgGV,0,,,,,367,447322
51772,PAN3,0,,,,,60,447629
51776,<Albumin>,0,,,,,4,447685
51783,"Bilirubin, Total, CSF",0,,,,,3,447686
51790,"Glucose, CSF",0,,,,,6622,441067
51791,HIV 1 Viral Load,1,0.0,0.0,14.0,log10 copies/mL,0,447685
51795,"Lactate Dehydrogenase, CSF",0,,,,,1314,446375
51796,"Miscellaneous, CSF",0,,,,,0,447689
51798,"PEP, CSF",0,,,,,0,447689
51802,"Total Protein, CSF",1,15.0,45.0,6755.0,mg/dL,0,440964
51806,Voided Specimen,0,,,,,0,447689
51826,"Uric Acid, Joint Fluid",0,,,,,1,447688
51827,Voided Specimen,0,,,,,0,447689
51839,Anat Path Hold,0,,,,,0,447689
51846,Chlamydia trachomatis,0,,,,,0,447689
51865,Influenza A by PCR,0,,,,,29,447660
51873,Influenza B by PCR,0,,,,,27,447662
51877,MRSA PCR,0,,,,,2576,445113
51879,Neisseria gonorrhoeae,0,,,,,0,447689
51893,Staph aureus PCR,0,,,,,2576,445113
51897,Surfactant/Albumin,0,,,,,6,447683
51899,Trichomonas vaginalis,0,,,,,0,447689
51901,Voided Specimen,0,,,,,0,447689
51903,PAN1,0,,,,,312,447377
51904,PAN2,0,,,,,138,447551
51921,"proBNP, Pleural",0,,,,,1703,445986
51922,"Urea Nitrogen, Pleural",0,,,,,2,447687
51924,Voided Specimen,0,,,,,0,447689
51927,"Albumin, Stool",0,,,,,0,447689
51933,C. diff PCR,0,,,,,1,447688
51934,C Diff Toxin Antigen Assay,0,,,,,0,447689
51945,Norovirus Genogroup I,0,,,,,1,447688
51946,Norovirus Genogroup II,0,,,,,2,447687
51953,Voided Specimen,0,,,,,1,447688
51956,CDT027,0,,,,,1,447688
51972,Chlamydia trachomatis,0,,,,,1,447688
51980,Fentanyl,0,,,,,0,447689
51986,Neisseria gonorrhoeae,0,,,,,1,447688
51989,Oxycodone,0,,,,,1396,446293
51996,Trichomonas vaginalis,0,,,,,0,447689
52004,UTX1,0,,,,,9308,438381
52005,UTX2,0,,,,,9309,438380
52006,UTX3,0,,,,,9204,438485
52007,UTX4,0,,,,,9370,438319
52008,UTX5,0,,,,,9358,438331
52009,UTX6,0,,,,,8933,438756
52010,UTX7,0,,,,,9236,438453
52012,UTX9,0,,,,,111,447578
52014,Voided Specimen,0,,,,,0,447689
52018,PAN1,0,,,,,928,446761
52019,PAN2,0,,,,,41,447648
52020,UTX10,0,,,,,2094,445595
52023,Assist/Control,0,,,,,0,447689
52024,"Creatinine, Whole Blood",2,0.4,1.1,1715.0,mg/dL,0,443696
52024,"Creatinine, Whole Blood",2,0.5,1.2,2292.0,mg/dL,0,443696
52026,Estimated GFR (MDRD equation),0,,,,,0,447689
52033,Specimen Type,0,,,,,95450,352239
52036,Voided Specimen,0,,,,,0,447689
52043,Voided Specimen,0,,,,,0,447689
52065,"Total Nucleated Cells, Ascites",1,0.0,0.0,6615.0,#/uL,0,441128
52066,Voided Specimen,0,,,,,0,447689
52069,Absolute Basophil Count,2,0.0,0.2,17.0,K/uL,0,347580
52069,Absolute Basophil Count,2,0.01,0.08,100206.0,K/uL,0,347580
52073,Absolute Eosinophil Count,2,0.02,0.23,17.0,K/uL,0,347574
52073,Absolute Eosinophil Count,2,0.04,0.54,100212.0,K/uL,0,347574
52074,Absolute Monocyte Count,2,0.2,0.8,100206.0,K/uL,0,347580
52074,Absolute Monocyte Count,2,0.2,1.6,17.0,K/uL,0,347580
52075,Absolute Neutrophil Count,2,1.6,6.1,100213.0,K/uL,0,347573
52075,Absolute Neutrophil Count,2,2.3,7.5,17.0,K/uL,0,347573
52087,CD15/56,0,,,,,150,447539
52088,CD 1a,0,,,,,1,447688
52092,CD56 %,0,,,,,1,447688
52093,CD56 Absolute Count,0,,,,,1,447688
52107,dRVVT - Confirmation,1,0.0,1.2,291.0,,0,447400
52108,dRVVT - Normalized Ratio,1,0.0,1.2,291.0,,0,447400
52109,dRVVT - Screen,1,0.0,1.2,813.0,,0,446998
52111,Echinocytes,0,,,,,2,447687
52113,Factor IX Inhibitor,1,0.0,0.03,2.0,BU,0,447689
52123,"G6PD, Qualitative",0,,,,,1397,446292
52129,Hemoglobin Other,0,,,,,8,447681
52131,HIT-Ab Interpreted Result,0,,,,,261,447428
52132,HIT-Ab Numerical Result,1,0.0,0.9,1076.0,U/mL,0,447420
52135,Immature Granulocytes,2,0.0,0.6,69886.0,%,19041,358982
52135,Immature Granulocytes,2,0.0,0.8,13.0,%,19041,358982
52171,RBC Morphology,0,,,,,18,447671
52172,RDW-SD,1,35.1,46.3,212071.0,fL,1,235762
52176,Rouleaux,0,,,,,0,447689
52177,SCT - Confirmation,1,0.0,1.16,45.0,,0,447644
52178,SCT - Normalized Ratio,1,0.0,1.16,45.0,,0,447644
52179,SCT - Screen,1,0.0,1.16,574.0,,0,447117
52181,Stomatocyte,0,,,,,0,447689
52184,TCR Alpha-Beta,0,,,,,3,447686
52185,TCR Gamma-Delta,0,,,,,3,447686
52195,Voided Specimen,0,,,,,4,447685
52220,wbcp,0,,,,,24,447665
52221,Atypical Lymphocytes,0,,,,,421,447268
52223,Bands,0,,,,,328,447361
52225,Basophils,0,,,,,260,447429
52227,Blasts,0,,,,,35,447654
52256,Eosinophils,0,,,,,895,446794
